dataset,classifier,seed,split,inverted,k,subset,macro_f1,accuracy,dimensions,fit_seconds
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+vgg16,0.9700833593061631,0.9705387205387206,4864,1.0446488589999774
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2+vit_b16,0.9710575569054256,0.9713804713804713,1536,1.764648999000002
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+dinov2_small,0.9941068668400951,0.9941077441077442,1408,1.647418096999985
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+drlbp,0.9966328522874867,0.9966329966329966,1104,1.2771632280000063
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+efficientnet_b0,0.9915643989038485,0.9915824915824916,2304,2.738257457000003
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+eva02_base,0.9847945569581775,0.9848484848484849,1792,2.111554573999996
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+gabor,0.9924212773527842,0.9924242424242424,1072,1.2714833080000005
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+glcm,0.9957908874106366,0.9957912457912458,1042,1.2876031190000106
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+hog,0.9949413734838626,0.9949494949494949,2788,3.435243363000012
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+lbp,0.996632601662479,0.9966329966329966,1078,1.2894622809999987
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+mae_base,0.9949324397549233,0.9949494949494949,1792,2.1083279130000108
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+resnet101,0.9941041880320818,0.9941077441077442,3072,2.2588265629999853
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+resnet50,0.9957829799801032,0.9957912457912458,3072,2.082277779000009
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+siglip_base,0.9881968701233922,0.9882154882154882,1792,2.015689192999986
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+swin_t,0.9890174574710037,0.9890572390572391,1792,2.1066742420000253
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+swinv2_base,0.9856899553449291,0.9856902356902357,2048,2.416407905
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+vgg16,0.9813103833966138,0.9814814814814815,5120,1.2113687720000144
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_large+vit_b16,0.9847710682051308,0.9848484848484849,1792,2.0810383680000086
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+drlbp,0.9864865571809758,0.9865319865319865,464,0.5109788870000216
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+efficientnet_b0,0.9618843429291666,0.9621212121212122,1664,1.9592253920000076
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+eva02_base,0.9677218467912664,0.968013468013468,1152,1.2697340660000123
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+gabor,0.9797379110428864,0.9797979797979798,432,0.5026293779999946
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+glcm,0.9822657111898828,0.9823232323232324,402,0.48955980799999566
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+hog,0.9848195643751587,0.9848484848484849,2148,2.842043652000001
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+lbp,0.9881839646247564,0.9882154882154882,438,0.5538725110000087
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+mae_base,0.9680104603706976,0.968013468013468,1152,1.521515093000005
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+resnet101,0.9856489588153455,0.9856902356902357,2432,1.8867854640000132
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+resnet50,0.9644131730740008,0.9646464646464646,2432,1.4458955880000133
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+siglip_base,0.9704707431673613,0.9705387205387206,1152,1.4763835000000256
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+swin_t,0.9684333549658081,0.9688552188552189,1152,1.3901842889999898
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+swinv2_base,0.9659331492475798,0.9663299663299664,1408,1.7551373719999788
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+vgg16,0.9561847066087686,0.9562289562289562,4480,0.8910670509999932
KTHTIPS2b,svm,42,official1_inverted,1,2,dinov2_small+vit_b16,0.9625077931868524,0.9629629629629629,1152,1.4028577789999872
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+efficientnet_b0,0.9095160960224412,0.9107744107744108,1360,1.9392260380000153
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+eva02_base,0.948241954893869,0.9486531986531986,848,1.1158587750000208
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+gabor,0.6143379864611556,0.6346801346801347,128,0.19044198100004905
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+glcm,0.5430649140449731,0.5765993265993266,98,0.1368605430000116
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+hog,0.499798468326694,0.5151515151515151,1844,5.3696434629999885
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+lbp,0.6789923838094158,0.7053872053872053,134,0.23520746000002646
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+mae_base,0.9240865545979392,0.9259259259259259,848,1.5019300380000118
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+resnet101,0.9634776515238538,0.9638047138047138,2128,1.3386418770000432
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+resnet50,0.8825639965490333,0.8838383838383839,2128,1.1548115960000018
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+siglip_base,0.9562799684856295,0.9562289562289562,848,1.1538969430000066
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+swin_t,0.9269695440602742,0.9267676767676768,848,1.1110675769999716
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+swinv2_base,0.9135550410039536,0.9141414141414141,1104,1.4153675839999664
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+vgg16,0.8367889515488852,0.8375420875420876,4176,0.8104594980000002
KTHTIPS2b,svm,42,official1_inverted,1,2,drlbp+vit_b16,0.9235150341769757,0.9259259259259259,848,1.0991400970000313
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+eva02_base,0.9409344051498071,0.9419191919191919,2048,2.5318909100000155
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+gabor,0.9105871489100075,0.9116161616161617,1328,1.8560135199999763
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+glcm,0.9138738620153375,0.914983164983165,1298,1.9289645299999734
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+hog,0.9156364951366119,0.9166666666666666,3044,4.446585108000022
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+lbp,0.913742766803884,0.914983164983165,1334,1.9401761240000042
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+mae_base,0.8896984352110507,0.8914141414141414,2048,2.932999295000002
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+resnet101,0.9462925638003042,0.9461279461279462,3328,2.7247729700000036
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+resnet50,0.9209594162936234,0.9217171717171717,3328,2.474982597999997
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+siglip_base,0.9410068252239817,0.9410774410774411,2048,2.518929921999984
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+swin_t,0.9419540463682418,0.9427609427609428,2048,2.5494634969999765
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+swinv2_base,0.9227182523845271,0.9234006734006734,2304,2.9846943210000063
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+vgg16,0.8936514411361064,0.8939393939393939,5376,1.4871766109999953
KTHTIPS2b,svm,42,official1_inverted,1,2,efficientnet_b0+vit_b16,0.9425031080699262,0.9436026936026936,2048,2.4537627949999887
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+gabor,0.9448798694138865,0.9452861952861953,816,1.054671154999994
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+glcm,0.9473503443715324,0.9478114478114478,786,1.0819667069999923
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+hog,0.948167713882869,0.9486531986531986,2532,3.572969591000003
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+lbp,0.9448915134695592,0.9452861952861953,822,1.1668240019999985
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+mae_base,0.9397438966956592,0.9402356902356902,1536,2.1850275189999593
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+resnet101,0.9594102961027062,0.9595959595959596,2816,2.019692543000019
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+resnet50,0.9417498184216769,0.9410774410774411,2816,1.828474683999957
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+siglip_base,0.9471736342093432,0.9478114478114478,1536,1.955371654999965
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+swin_t,0.9486788424910624,0.9486531986531986,1536,1.8935732660000326
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+swinv2_base,0.9439242486628211,0.9444444444444444,1792,2.217366704000028
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+vgg16,0.9295440293025105,0.930976430976431,4864,1.1762916910000172
KTHTIPS2b,svm,42,official1_inverted,1,2,eva02_base+vit_b16,0.9471407699762572,0.9478114478114478,1536,1.9097625300000232
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+glcm,0.38270930843062384,0.43097643097643096,66,0.15245170100001815
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+hog,0.4892178458997329,0.5050505050505051,1812,5.287815518000002
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+lbp,0.6453286757752317,0.6868686868686869,102,0.21787701499999912
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+mae_base,0.9114234325105869,0.9107744107744108,816,1.4872611639999604
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+resnet101,0.9619106289622127,0.9621212121212122,2096,1.422813480000002
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+resnet50,0.8962657299399764,0.8973063973063973,2096,1.1656391100000292
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+siglip_base,0.9512428682211943,0.9511784511784511,816,1.1187582689999545
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+swin_t,0.9297314578041985,0.9301346801346801,816,1.0730287779999799
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+swinv2_base,0.9109546986963324,0.9116161616161617,1072,1.391160369999966
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+vgg16,0.813499247535935,0.8173400673400674,4144,0.8405966920000196
KTHTIPS2b,svm,42,official1_inverted,1,2,gabor+vit_b16,0.9123957084915308,0.9158249158249159,816,1.1061582520000002
KTHTIPS2b,svm,42,official1_inverted,1,2,glcm+hog,0.47324720596666797,0.48569023569023567,1782,5.422605931000021
KTHTIPS2b,svm,42,official1_inverted,1,2,glcm+lbp,0.62923103411813,0.664983164983165,72,0.16999614400003793
KTHTIPS2b,svm,42,official1_inverted,1,2,glcm+mae_base,0.909481319849344,0.9124579124579124,786,1.412496482999984
KTHTIPS2b,svm,42,official1_inverted,1,2,glcm+resnet101,0.9616931173819233,0.9621212121212122,2066,1.3429292449999934
