dataset,classifier,seed,outer_fold,method,selected,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,roc_auc_ovr_macro,fit_predict_seconds,archived_accuracy,archived_macro_f1,delta_accuracy_vs_archive,delta_macro_f1_vs_archive
DTD,resmlp,42,2,best_individual,siglip_base,1880,0.8420212765957447,0.8420212765957448,0.8452852056484137,0.8420212765957448,0.8416083084780505,0.9910748149861238,6.433568925999992,0.8367021276595744,0.8366074150825067,0.005319148936170248,0.005000893395543771
DTD,resmlp,42,2,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8622340425531915,0.8622340425531915,0.8655953850922654,0.8622340425531915,0.8618113481192631,0.9942686170212767,54.09017234000004,0.8627659574468085,0.8621049928015732,-0.0005319148936170359,-0.0002936446823100791
DTD,resmlp,42,2,gfs,siglip_base+dinov2_large+resnet50+lbp+eva02_base+swin_t,1880,0.8659574468085106,0.8659574468085107,0.8688540229199342,0.8659574468085107,0.8657260735654846,0.9922343316373727,18.047059220999984,0.8696808510638298,0.8701172782843075,-0.0037234042553191404,-0.0043912047188229275
DTD,resmlp,42,2,topk_individual,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t,1880,0.8648936170212767,0.8648936170212764,0.8673305157299646,0.8648936170212764,0.8641147354591184,0.9926468547641071,16.04853737100001,0.8648936170212767,0.8641147354591184,0.0,0.0
DTD,resmlp,42,3,best_homogeneous_self_supervised,siglip_base+dinov2_large+dinov2_small+mae_base,1880,0.8654255319148936,0.8654255319148939,0.8667598279124588,0.8654255319148939,0.8644272377708425,0.9925835453283997,10.229568889000006,0.8723404255319149,0.8705744791070599,-0.006914893617021356,-0.006147241336217357
DTD,resmlp,42,3,best_individual,siglip_base,1880,0.8457446808510638,0.8457446808510638,0.8505560795362569,0.8457446808510638,0.8447464606662779,0.9917538737280296,4.581797132999952,0.8462765957446808,0.84679865134178,-0.0005319148936170359,-0.002052190675502108
DTD,resmlp,42,3,full_concat,convnext_v2_t+deit_s+densenet121+dinov2+dinov2_large+dinov2_small+drlbp+efficientnet_b0+eva02_base+gabor+glcm+hog+lbp+mae_base+resnet101+resnet50+siglip_base+swin_t+vgg16+vit_b16,1880,0.8638297872340426,0.8638297872340426,0.8635387524632481,0.8638297872340426,0.8621739472572653,0.9932721438482885,46.97987688499995,0.8718085106382979,0.8705064620268154,-0.007978723404255317,-0.008332514769550103
DTD,resmlp,42,3,gfs,siglip_base+dinov2_large+eva02_base+densenet121+resnet50+dinov2_small+lbp,1880,0.872872340425532,0.8728723404255321,0.8735907057664245,0.8728723404255321,0.8720225573456447,0.9942157146160961,19.016579922999995,0.8781914893617021,0.8779127725628006,-0.005319148936170137,-0.005890215217155936
DTD,resmlp,42,3,topk_individual,siglip_base+dinov2_large+dinov2+eva02_base+dinov2_small+convnext_v2_t+resnet101,1880,0.8739361702127659,0.8739361702127658,0.875905541674938,0.8739361702127658,0.872870172873697,0.9932863089731729,19.049929872000007,0.8739361702127659,0.872870172873697,0.0,0.0
DTD,resmlp,42,4,best_homogeneous_self_supervised,siglip_base+dinov2_large+dinov2_small,1880,0.8648936170212767,0.8648936170212765,0.8678592443949241,0.8648936170212765,0.8638589709318597,0.9924577937095286,9.80097909799997,0.8606382978723405,0.8594720852548706,0.004255319148936176,0.004386885676989083
