dataset,classifier,seed,outer_fold,run_mode_gfs,method_gfs,macro_f1_gfs,accuracy_gfs,k_gfs,dimensions_gfs,fit_seconds_gfs,selected_gfs,inner_f1_gfs,run_mode_topk,method_topk,macro_f1_topk,accuracy_topk,k_topk,dimensions_topk,fit_seconds_topk,selected_topk,inner_f1_topk,delta_gfs_topk,dimension_delta
FMD,resmlp,42,1,full,gfs,0.9898587933247752,0.99,2,1792,1.1402066980008383,siglip_base+dinov2_large,0.983706210883682,full,topk_individual,0.9949968730456537,0.995,2,1536,2.673219845999484,siglip_base+eva02_base,0.9573974527311766,-0.00513807972087843,256
FMD,resmlp,42,2,full,gfs,0.9799906191369606,0.98,5,4404,1.6402426860004198,siglip_base+eva02_base+dinov2_large+drlbp+hog,0.9825750313214864,full,topk_individual,0.9751094434021264,0.975,5,3712,2.669462623000072,siglip_base+eva02_base+dinov2+dinov2_large+dinov2_small,0.9456169454566848,0.004881175734834264,692
FMD,resmlp,42,3,full,gfs,0.9899937460913072,0.99,7,3510,1.8930169740051497,siglip_base+dinov2_large+eva02_base+drlbp+lbp+gabor+mae_base,0.9813463419336332,full,topk_individual,1.0,1.0,7,5248,3.278621243998714,siglip_base+eva02_base+dinov2_large+dinov2+dinov2_small+convnext_v2_t+vit_b16,0.9216005589614517,-0.010006253908692808,-1738
FMD,resmlp,42,4,full,gfs,0.9701067631555436,0.97,4,3456,1.476916074003384,siglip_base+dinov2_large+dinov2_small+efficientnet_b0,0.9798942568547684,full,topk_individual,0.9653448583936388,0.965,4,3328,2.8618173520007986,siglip_base+eva02_base+dinov2_large+dinov2,0.951485695362647,0.004761904761904745,128
FMD,resmlp,123,0,full,gfs,0.9799718103890118,0.98,5,4372,2.044795695997891,siglip_base+dinov2_large+hog+eva02_base+gabor,0.9786676588281212,full,topk_individual,0.9748624140087554,0.975,5,3712,2.650875011999233,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small,0.9406105195464018,0.005109396380256426,660
FMD,resmlp,123,1,full,gfs,0.9849937460913072,0.985,2,1792,1.0742356730042957,siglip_base+dinov2_large,0.97856133421087,full,topk_individual,0.9849937460913072,0.985,2,1536,2.256502333000753,siglip_base+eva02_base,0.9555874600980692,0.0,256
FMD,resmlp,123,2,full,gfs,0.984971810389012,0.985,6,4426,1.39932645400404,siglip_base+dinov2_large+lbp+eva02_base+hog+gabor,0.9773493689347348,full,topk_individual,0.984971810389012,0.985,6,4480,2.896341838000808,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small+convnext_v2_t,0.9301464623814946,0.0,-54
FMD,resmlp,123,3,full,gfs,0.9547556260123058,0.955,4,2608,1.3517341119950288,siglip_base+dinov2_large+eva02_base+gabor,0.9875466536230189,full,topk_individual,0.9648185426041652,0.965,4,3328,2.536261350000132,siglip_base+eva02_base+dinov2+dinov2_large,0.9558118019234968,-0.010062916591859428,-720
FMD,resmlp,123,4,full,gfs,0.984971810389012,0.985,6,3456,1.647877329000039,siglip_base+dinov2+drlbp+dinov2_large+eva02_base+gabor,0.982481884824632,full,topk_individual,0.9699167089590112,0.97,6,4480,2.889490962999844,siglip_base+dinov2_large+eva02_base+dinov2+dinov2_small+convnext_v2_t,0.9421478107081296,0.015055101430000883,-1024
FMD,resmlp,2026,0,full,gfs,0.9799785580273384,0.98,4,3328,1.0896009549978771,siglip_base+dinov2_large+eva02_base+mae_base,0.98498904390432,full,topk_individual,0.9799686834346656,0.98,4,3328,2.391206533999138,siglip_base+eva02_base+dinov2+dinov2_large,0.9504659166785906,9.874592672765026e-06,0
