dataset,classifier,seed,outer_fold,dimensions__best_individual,dimensions__full_concat,dimensions__gfs,dimensions__homogeneous,dimensions__topk_individual,macro_f1__best_individual,macro_f1__full_concat,macro_f1__gfs,macro_f1__homogeneous,macro_f1__topk_individual,inner_best_single,k_gfs,gfs_steps,headroom,completa_menos_gfs
SoilOriginal,svm,42,0,768.0,20652.0,1736.0,2688.0,4608.0,0.8883230765566684,0.9057524523316216,0.8792227497016256,0.8762760531533977,0.8797035410498054,0.8541970096955083,6,7,0.14580299030449173,0.026529702629995988
SoilOriginal,svm,42,1,768.0,20652.0,3448.0,2560.0,7936.0,0.7978746901395904,0.8687485903942455,0.8334639558871729,0.8000742994403455,0.8476811746639085,0.876623988709962,8,8,0.12337601129003795,0.03528463450707253
SoilOriginal,svm,42,2,768.0,20652.0,2304.0,2560.0,2304.0,0.8407281725551331,0.8380831563033725,0.8522299677746435,0.8101829665739441,0.8330960223853853,0.8811867170280777,3,5,0.11881328297192228,-0.014146811471271059
SoilOriginal,svm,42,3,768.0,20652.0,3152.0,2304.0,3840.0,0.8866426916190118,0.9371900869376324,0.8985717582931522,0.8957657591794391,0.8952473068779165,0.8412642156445256,5,7,0.15873578435547442,0.038618328644480227
SoilOriginal,svm,42,4,768.0,20652.0,4400.0,2304.0,6912.0,0.8939061497128665,0.9098731098551394,0.8768492864806215,0.9208778435992352,0.8945777670767824,0.8602474712654306,7,8,0.13975252873456945,0.03302382337451781
SoilOriginal,svm,123,0,768.0,20652.0,848.0,1536.0,1536.0,0.8659465266319767,0.8974237037353066,0.8659465266319767,0.8871283129035901,0.9064213957830978,0.8715115888660324,2,4,0.12848841113396758,0.03147717710332987
SoilOriginal,svm,123,1,768.0,20652.0,9344.0,2688.0,8192.0,0.8510710500879247,0.8448874109823444,0.803449914801793,0.8012235225652076,0.7879804690187002,0.8580657097530766,8,8,0.1419342902469234,0.04143749618055148
SoilOriginal,svm,123,2,768.0,20652.0,2760.0,1920.0,6144.0,0.8045129045913597,0.8384208197385536,0.8518225615702679,0.8355270790302735,0.8621833168004073,0.8628873998498203,7,8,0.13711260015017968,-0.013401741831714276
SoilOriginal,svm,123,3,768.0,20652.0,1926.0,2304.0,3072.0,0.8710213305036029,0.9017039090705516,0.895356308307108,0.9052823737165404,0.9229590453340988,0.8498117015448404,4,5,0.15018829845515957,0.00634760076344365
SoilOriginal,svm,123,4,768.0,20652.0,7496.0,1920.0,6912.0,0.88677911110491,0.910768592000965,0.9161337521063582,0.9124049646606036,0.931963885813798,0.8465812247505717,8,8,0.15341877524942826,-0.005365160105393119
SoilOriginal,svm,2026,0,768.0,20652.0,5120.0,2304.0,3840.0,0.8320604686732134,0.8543836513124046,0.850898948792213,0.8571681962944314,0.8853451675666183,0.8729218760978024,5,7,0.12707812390219764,0.003484702520191618
SoilOriginal,svm,2026,1,768.0,20652.0,1682.0,2304.0,3840.0,0.8596948506900214,0.8669339405952655,0.8684915454759649,0.8896125841172056,0.8914875308779686,0.8666532430427146,5,6,0.13334675695728537,-0.001557604880699337
SoilOriginal,svm,2026,2,768.0,20652.0,5164.0,1536.0,6912.0,0.8545402162480046,0.893629287849719,0.8867946950607891,0.8589732569868469,0.8809599485727305,0.8651740002620135,7,8,0.13482599973798648,0.006834592788929839
SoilOriginal,svm,2026,3,768.0,20652.0,866.0,2304.0,2304.0,0.9001075839660064,0.9078966104638874,0.8982666765120637,0.896962263928096,0.897628428351528,0.8584857574192586,3,4,0.1415142425807414,0.009629933951823655
SoilOriginal,svm,2026,4,768.0,20652.0,5402.0,1536.0,5120.0,0.8330454142729921,0.8484464690300311,0.8291348583409495,0.8570852040255835,0.8464771539805241,0.8856592639953915,5,7,0.11434073600460848,0.019311610689081604
