experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp3_concat_prefix,DTD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.76035993284179,0.0113060048645441,n/a,6828
Exp3_concat_prefix,DTD,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7180537089107164,0.0108386708050933,n/a,6828
Exp3_concat_prefix,DTD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.8106521519457015,0.0063445158824281,n/a,7596
Exp3_concat_prefix,DTD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.7542715711836776,0.0079836458485982,n/a,7596
Exp3_concat_prefix,DTD,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7223859296913535,0.0083003544321013,n/a,7596
Exp3_concat_prefix,DTD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.808701076077266,0.0082938603232398,n/a,7980
Exp3_concat_prefix,DTD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.754938352494093,0.0074957416373184,n/a,7980
Exp3_concat_prefix,DTD,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7230600954042201,0.0090628338999546,n/a,7980
Exp3_concat_prefix,DTD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.8442790376517305,0.0088863128429882,n/a,8748
Exp3_concat_prefix,DTD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.7902881824533521,0.0063631407383056,n/a,8748
Exp3_concat_prefix,DTD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.7856227764325754,0.0109846773008659,n/a,8748
Exp3_concat_prefix,FMD,k=1,lbp,svm,0.198025039196208,0.010739450608124,n/a,54
Exp3_concat_prefix,FMD,k=1,lbp,knn,0.2459982946560048,0.0116742472436962,n/a,54
Exp3_concat_prefix,FMD,k=1,lbp,rf,0.3183169461951649,0.0255532584246759,n/a,54
Exp3_concat_prefix,FMD,k=2,lbp + glcm,svm,0.2110844097886319,0.0128251306660253,n/a,72
