dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
DTD,['swin_t'],rf,0.6916794725426484,0.012411111853755,768,1,768
DTD,['deit_s'],svm,0.6993023389118223,0.0100236018126615,384,1,384
DTD,['deit_s'],knn,0.6321184419584112,0.0117700591803167,384,1,384
DTD,['deit_s'],rf,0.6097361619930213,0.0117784046266329,384,1,384
DTD,['dinov2'],svm,0.845419023655262,0.0070206213707797,768,1,768
DTD,['dinov2'],knn,0.8029679400142475,0.0092429307945883,768,1,768
DTD,['dinov2'],rf,0.7994378237643183,0.0072607792860732,768,1,768
DTD,['dinov2_large'],svm,0.8462035721031155,0.0043430911549562,1024,1,1024
DTD,['dinov2_large'],knn,0.7954545803597066,0.0063074449781606,1024,1,1024
DTD,['dinov2_large'],rf,0.8049328645024666,0.0080888631133804,1024,1,1024
DTD,['resnet50'],svm,0.752987328392129,0.0110030602889382,2048,1,2048
DTD,['resnet50'],knn,0.6986331247224857,0.0106892763337347,2048,1,2048
DTD,['resnet50'],rf,0.6876578990976319,0.0108511462527724,2048,1,2048
DTD,['convnext_v2_t'],svm,0.7795160403494363,0.0120847618034558,768,1,768
DTD,['convnext_v2_t'],knn,0.719187252967006,0.0102777222971806,768,1,768
DTD,['convnext_v2_t'],rf,0.7106403868548818,0.0061095780335877,768,1,768
DTD,['efficientnet_b0'],svm,0.7319811486176347,0.0100151420557795,1280,1,1280
DTD,['efficientnet_b0'],knn,0.6847822800272869,0.0057420541455867,1280,1,1280
DTD,['efficientnet_b0'],rf,0.6579480714108985,0.0105548156479756,1280,1,1280
DTD,['lbp'],svm,0.2689487180892833,0.0080245315545696,54,1,54
DTD,['lbp'],knn,0.2563107880070017,0.013049385013518,54,1,54
DTD,['lbp'],rf,0.3261071522243161,0.0152533421389324,54,1,54
DTD,['glcm'],svm,0.0448726829516345,0.0047417249446514,18,1,18
DTD,['glcm'],knn,0.1037542569727511,0.0087389050908569,18,1,18
DTD,['glcm'],rf,0.1562504369092174,0.01129121405751,18,1,18
DTD,['gabor'],svm,0.0766086422496323,0.0075662119478023,48,1,48
DTD,['gabor'],knn,0.1562225538200078,0.0123586119672293,48,1,48
DTD,['gabor'],rf,0.2073967246232625,0.0136812865678622,48,1,48
DTD,['hog'],svm,0.2471694396692195,0.0103030731215049,1764,1,1764
DTD,['hog'],knn,0.1655616484236328,0.0117393207570143,1764,1,1764
DTD,['hog'],rf,0.206692523142431,0.0152966949876316,1764,1,1764
DTD,['drlbp'],svm,0.1331511322300692,0.0099709396048865,80,1,80
DTD,['drlbp'],knn,0.1454172925904118,0.0057047301040599,80,1,80
DTD,['drlbp'],rf,0.1906476116082583,0.0070111393604623,80,1,80
FMD,lbp,svm,0.198025039196208,0.010739450608124,54,1,54
FMD,lbp,knn,0.2459982946560048,0.0116742472436962,54,1,54
FMD,lbp,rf,0.3183169461951649,0.0255532584246759,54,1,54
FMD,lbp + glcm,svm,0.2110844097886319,0.0128251306660253,72,2,72
FMD,lbp + glcm,knn,0.2436652165533184,0.0306851403687221,72,2,72
FMD,lbp + glcm,rf,0.3385623718243048,0.0330615647622785,72,2,72
FMD,lbp + glcm + gabor,svm,0.2122856167320059,0.0125255490476582,120,3,120
FMD,lbp + glcm + gabor,knn,0.2608935244113904,0.0335286498481547,120,3,120
FMD,lbp + glcm + gabor,rf,0.38330219925752,0.0315186170883227,120,3,120
FMD,lbp + glcm + gabor + hog,svm,0.3116065895606227,0.0257650610299072,1884,4,1884
FMD,lbp + glcm + gabor + hog,knn,0.1845837107410174,0.0144476283416702,1884,4,1884
FMD,lbp + glcm + gabor + hog,rf,0.3725014638340932,0.0192029010321992,1884,4,1884
FMD,lbp + glcm + gabor + hog + drlbp,svm,0.3193465660769531,0.0205310325649284,1964,5,1964
FMD,lbp + glcm + gabor + hog + drlbp,knn,0.1977339842713366,0.0182176578716746,1964,5,1964
FMD,lbp + glcm + gabor + hog + drlbp,rf,0.3639410628593893,0.0122589855400088,1964,5,1964
FMD,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.8325789006406252,0.0156179262040881,4012,6,4012
FMD,lbp + glcm + gabor + hog + drlbp + resnet50,knn,0.7284961828252872,0.0134401587226453,4012,6,4012
FMD,lbp + glcm + gabor + hog + drlbp + resnet50,rf,0.782354106070744,0.0291080162062874,4012,6,4012
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,svm,0.8953807434411114,0.0132389447630069,4780,7,4780
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,knn,0.8449418690080408,0.0168092526585314,4780,7,4780
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t,rf,0.8223914483100913,0.0144947722354825,4780,7,4780
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,svm,0.8982188772728374,0.0179731073563765,6060,8,6060
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,knn,0.8493704208122999,0.0092941161300371,6060,8,6060
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0,rf,0.8307765428561362,0.0329398154134512,6060,8,6060
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,svm,0.9190160323906472,0.0100541189617311,6828,9,6828
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,knn,0.8686702983587484,0.0090229340551922,6828,9,6828
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16,rf,0.8379929695119033,0.0143913979236735,6828,9,6828
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,svm,0.918169967458192,0.0169741141441804,7596,10,7596
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,knn,0.8584434285469902,0.0093764180011091,7596,10,7596
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t,rf,0.8401032354763454,0.0202577259971858,7596,10,7596
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,svm,0.9152469444621774,0.0201155601987333,7980,11,7980
FMD,lbp + glcm + gabor + hog + drlbp + resnet50 + convnext_v2_t + efficientnet_b0 + vit_b16 + swin_t + deit_s,knn,0.8537523659927251,0.0175833168215396,7980,11,7980
