dataset,strategy,class,support,precision,recall,f1
KTH-TIPS2,Mejor individual,corduroy,432,1.0,0.9930555555555556,0.9965156794425087
KTH-TIPS2,Mejor individual,cork,432,1.0,1.0,1.0
KTH-TIPS2,Mejor individual,cotton,396,0.9875,0.9974747474747475,0.992462311557789
KTH-TIPS2,Mejor individual,cracker,396,1.0,0.9974747474747475,0.9987357774968394
KTH-TIPS2,Mejor individual,lettuce_leaf,432,1.0,1.0,1.0
KTH-TIPS2,Mejor individual,linen,396,0.9974619289340102,0.9924242424242424,0.9949367088607595
KTH-TIPS2,Mejor individual,white_bread,432,1.0,1.0,1.0
KTH-TIPS2,Mejor individual,wood,432,0.9976905311778291,1.0,0.9988439306358381
KTH-TIPS2,Mejor individual,wool,432,0.9976851851851852,0.9976851851851852,0.9976851851851852
KTH-TIPS2,GFS subset,aluminium_foil,396,1.0,1.0,1.0
KTH-TIPS2,GFS subset,brown_bread,432,1.0,1.0,1.0
KTH-TIPS2,GFS subset,corduroy,432,1.0,0.9976851851851852,0.9988412514484357
KTH-TIPS2,GFS subset,cork,432,1.0,1.0,1.0
KTH-TIPS2,GFS subset,cotton,396,0.9974811083123426,1.0,0.9987389659520807
KTH-TIPS2,GFS subset,cracker,396,1.0,1.0,1.0
KTH-TIPS2,GFS subset,lettuce_leaf,432,1.0,1.0,1.0
KTH-TIPS2,GFS subset,linen,396,1.0,1.0,1.0
KTH-TIPS2,GFS subset,white_bread,432,1.0,1.0,1.0
KTH-TIPS2,GFS subset,wood,432,1.0,1.0,1.0
KTH-TIPS2,GFS subset,wool,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,aluminium_foil,396,1.0,1.0,1.0
KTH-TIPS2,Full concat,brown_bread,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,corduroy,432,1.0,0.9976851851851852,0.9988412514484357
KTH-TIPS2,Full concat,cork,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,cotton,396,0.9974811083123426,1.0,0.9987389659520807
KTH-TIPS2,Full concat,cracker,396,1.0,1.0,1.0
KTH-TIPS2,Full concat,lettuce_leaf,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,linen,396,1.0,1.0,1.0
KTH-TIPS2,Full concat,white_bread,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,wood,432,1.0,1.0,1.0
KTH-TIPS2,Full concat,wool,432,1.0,1.0,1.0
HVD_glaucoma,Mejor individual,advanced_glaucoma,467,0.7131410256410257,0.9528907922912205,0.8157653528872594
HVD_glaucoma,Mejor individual,early_glaucoma,289,0.7480916030534351,0.3391003460207612,0.4666666666666667
HVD_glaucoma,Mejor individual,normal_control,788,0.8808618504435995,0.881979695431472,0.8814204185161699
HVD_glaucoma,GFS subset,advanced_glaucoma,467,0.793040293040293,0.9271948608137045,0.8548864758144127
HVD_glaucoma,GFS subset,early_glaucoma,289,0.6990740740740741,0.5224913494809689,0.598019801980198
HVD_glaucoma,GFS subset,normal_control,788,0.8989769820971867,0.8921319796954315,0.8955414012738854
HVD_glaucoma,Full concat,advanced_glaucoma,467,0.7981308411214953,0.9143468950749465,0.8522954091816367
HVD_glaucoma,Full concat,early_glaucoma,289,0.6533333333333333,0.5086505190311419,0.5719844357976653
HVD_glaucoma,Full concat,normal_control,788,0.8954081632653061,0.8908629441624365,0.8931297709923665
ocular_toxoplasmosis,Mejor individual,active,92,0.7796610169491526,0.5,0.609271523178808
ocular_toxoplasmosis,Mejor individual,healthy,132,0.8857142857142857,0.9393939393939394,0.9117647058823529
ocular_toxoplasmosis,Mejor individual,inactive,188,0.755868544600939,0.8563829787234043,0.8029925187032418
ocular_toxoplasmosis,GFS subset,active,92,0.8125,0.7065217391304348,0.7558139534883721
ocular_toxoplasmosis,GFS subset,healthy,132,0.9071428571428571,0.9621212121212122,0.9338235294117647
ocular_toxoplasmosis,GFS subset,inactive,188,0.8489583333333334,0.8670212765957447,0.8578947368421053
ocular_toxoplasmosis,Full concat,active,92,0.7790697674418605,0.7282608695652174,0.7528089887640449
ocular_toxoplasmosis,Full concat,healthy,132,0.9393939393939394,0.9393939393939394,0.9393939393939394
ocular_toxoplasmosis,Full concat,inactive,188,0.8402061855670103,0.8670212765957447,0.8534031413612565
